App,cycle,pcuUtil,mcuUtil,scuUtil,ocuUtil,mcUtil,ocuUtil,mcUtil,slinkUtil,vlinkUtil,clinkUtil,totalRegUtil,totalFUUtil,totalSBufUtil,totalVBufUtil
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_2_loop_k_2,12800236,0.844,0.563,0.235,0.19,0.235,0.19,0.235,0.24,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_2_loop_kk_2_loop_i_1_loop_k_2,13025035,1.0,0.563,0.294,0.229,0.294,0.229,0.294,0.306,0.0,0.0,0.016,0.09,0.285,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,34144736,0.563,0.25,0.176,0.137,0.176,0.137,0.176,0.14,0.0,0.0,0.017,0.089,0.283,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_1_loop_k_2,24586004,0.594,0.313,0.176,0.137,0.176,0.137,0.176,0.168,0.0,0.0,0.017,0.094,0.287,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,12714609,0.844,0.563,0.235,0.176,0.235,0.176,0.235,0.232,0.0,0.0,0.016,0.085,0.282,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_2_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,12337205,1.0,0.563,0.294,0.216,0.294,0.216,0.294,0.277,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_2,5572523,0.297,0.156,0.088,0.072,0.088,0.072,0.088,0.066,0.0,0.0,0.017,0.094,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,3408851,0.422,0.281,0.118,0.092,0.118,0.092,0.118,0.087,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,5271241,0.469,0.219,0.147,0.111,0.147,0.111,0.147,0.11,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,3638520,0.5,0.281,0.147,0.111,0.147,0.111,0.147,0.119,0.0,0.0,0.016,0.09,0.286,0.0
